Kod;Nazwa;Ważniejsze przyczyny wypadków;Rok;Wartosc;Jednostka miary;Region_Type
200000;DOLNOŚLĄSKIE;pozostałe przyczyny;2023;25;szt.;województwo
400000;KUJAWSKO-POMORSKIE;ogółem;2014;-;szt.;województwo
400000;KUJAWSKO-POMORSKIE;ogółem;2015;-;szt.;województwo
400000;KUJAWSKO-POMORSKIE;ogółem;2016;-;szt.;województwo
400000;KUJAWSKO-POMORSKIE;ogółem;2017;-;szt.;województwo
400000;KUJAWSKO-POMORSKIE;ogółem;2018;-;szt.;województwo
400000;KUJAWSKO-POMORSKIE;ogółem;2019;-;szt.;województwo
400000;KUJAWSKO-POMORSKIE;ogółem;2020;-;szt.;województwo
400000;KUJAWSKO-POMORSKIE;ogółem;2021;-;szt.;województwo
400000;KUJAWSKO-POMORSKIE;ogółem;2022;-;szt.;województwo
400000;KUJAWSKO-POMORSKIE;ogółem;2023;784;szt.;województwo
400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2014;854;szt.;województwo
400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2015;824;szt.;województwo
400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2016;881;szt.;województwo
400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2017;822;szt.;województwo
400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2018;825;szt.;województwo
400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2019;839;szt.;województwo
400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2020;746;szt.;województwo
400000;KUJAWSKO-POMORSKIE;wina kierujących pojazdami - ogółem;2021;727;szt.;województwo
